point_id,cluster_id,borough
2068.0,0,Brooklyn
4428.0,0,Brooklyn
4357.0,1,Brooklyn
2061.0,1,Brooklyn
2062.0,1,Brooklyn
2063.0,1,Brooklyn
2064.0,1,Brooklyn
2065.0,1,Brooklyn
2066.0,1,Brooklyn
4125.0,1,Brooklyn
2067.0,2,Brooklyn
4126.0,2,Brooklyn
554.0,3,Brooklyn
2072.0,4,Brooklyn
2069.0,4,Brooklyn
2070.0,4,Brooklyn
2071.0,4,Brooklyn
4130.0,5,
2074.0,6,Brooklyn
2075.0,7,Brooklyn
4131.0,8,Brooklyn
2073.0,9,Brooklyn
4429.0,10,Brooklyn
3413.0,11,Brooklyn
2076.0,12,Brooklyn
2077.0,12,Brooklyn
2078.0,13,Brooklyn
2079.0,13,Brooklyn
4132.0,14,Brooklyn
1461.0,15,Brooklyn
2080.0,16,Queens
2081.0,17,Queens
9.0,18,Brooklyn
2663.0,18,Brooklyn
4354.0,19,Queens
8.0,20,Brooklyn
4430.0,21,Queens
4134.0,22,Queens
4135.0,23,Queens
3731.0,24,Brooklyn
971.0,25,Brooklyn
3403.0,26,Brooklyn
3730.0,27,
4136.0,28,Queens
3732.0,28,Brooklyn
3733.0,28,Brooklyn
3926.0,29,Manhattan
3928.0,29,Manhattan
3929.0,29,Manhattan
3930.0,29,Manhattan
3931.0,29,Manhattan
3674.0,30,Manhattan
3927.0,31,Manhattan
137.0,32,Manhattan
4121.0,33,Manhattan
4413.0,34,Manhattan
1709.0,35,Manhattan
1710.0,35,Manhattan
862.0,36,Manhattan
863.0,36,Manhattan
1179.0,37,Manhattan
1476.0,38,Manhattan
4029.0,39,Manhattan
745.0,40,Manhattan
1370.0,40,Manhattan
3698.0,40,Manhattan
1633.0,41,Manhattan
4041.0,42,Queens
1699.0,43,Queens
4310.0,44,Queens
4347.0,45,Queens
4040.0,46,Queens
4042.0,47,
3371.0,48,Brooklyn
7.0,48,Brooklyn
4355.0,49,
876.0,50,Staten Island
1847.0,51,Staten Island
891.0,52,Staten Island
892.0,52,Staten Island
893.0,52,Staten Island
894.0,52,Staten Island
901.0,53,Staten Island
896.0,54,Staten Island
874.0,54,Staten Island
875.0,54,Staten Island
877.0,54,Staten Island
878.0,54,Staten Island
879.0,54,Staten Island
880.0,54,Staten Island
881.0,54,Staten Island
882.0,54,Staten Island
883.0,54,Staten Island
884.0,54,Staten Island
885.0,54,Staten Island
886.0,54,Staten Island
887.0,54,Staten Island
895.0,54,Staten Island
897.0,55,Staten Island
888.0,56,Staten Island
2697.0,57,Staten Island
898.0,58,Staten Island
899.0,58,Staten Island
904.0,59,Staten Island
900.0,59,Staten Island
902.0,60,Staten Island
903.0,60,Staten Island
905.0,60,Staten Island
889.0,60,Staten Island
890.0,60,Staten Island
2698.0,61,Staten Island
3458.0,62,Staten Island
2699.0,63,Staten Island
91.0,64,Staten Island
1299.0,65,Staten Island
2700.0,66,Staten Island
906.0,67,Staten Island
1145.0,68,Staten Island
3595.0,69,Manhattan
1139.0,69,Manhattan
4406.0,69,Manhattan
660.0,70,Manhattan
3336.0,71,Manhattan
1691.0,72,Manhattan
948.0,72,Manhattan
3286.0,72,Manhattan
2250.0,73,Manhattan
3341.0,74,Manhattan
3342.0,74,Manhattan
4144.0,75,Manhattan
870.0,76,Manhattan
4009.0,76,Manhattan
4010.0,76,Manhattan
4011.0,76,Manhattan
4012.0,76,Manhattan
4013.0,76,Manhattan
4014.0,76,Manhattan
4015.0,76,Manhattan
4016.0,76,Manhattan
1141.0,77,Manhattan
3607.0,78,Manhattan
4198.0,79,Manhattan
4181.0,80,Manhattan
4183.0,81,Manhattan
1129.0,82,Manhattan
1132.0,82,Manhattan
1133.0,82,Manhattan
1135.0,83,Manhattan
1137.0,84,Manhattan
1138.0,85,Manhattan
3987.0,86,Manhattan
3988.0,86,Manhattan
3989.0,86,Manhattan
3990.0,86,Manhattan
3991.0,86,Manhattan
3992.0,86,Manhattan
3993.0,86,Manhattan
3994.0,86,Manhattan
3995.0,86,Manhattan
3996.0,86,Manhattan
3997.0,86,Manhattan
3998.0,86,Manhattan
3999.0,86,Manhattan
4000.0,86,Manhattan
4001.0,86,Manhattan
4002.0,86,Manhattan
4003.0,86,Manhattan
4004.0,86,Manhattan
4005.0,86,Manhattan
4006.0,86,Manhattan
4007.0,86,Manhattan
4008.0,86,Manhattan
3946.0,86,Manhattan
3947.0,86,Manhattan
3948.0,86,Manhattan
3949.0,86,Manhattan
3950.0,86,Manhattan
3951.0,86,Manhattan
4211.0,86,Manhattan
1927.0,87,Manhattan
1410.0,88,Manhattan
3952.0,89,Manhattan
3953.0,90,Manhattan
3954.0,90,Manhattan
3955.0,90,Manhattan
3956.0,90,Manhattan
1140.0,91,Manhattan
2053.0,92,Brooklyn
2500.0,93,Brooklyn
2497.0,94,Brooklyn
2501.0,95,Brooklyn
2502.0,96,Brooklyn
2503.0,97,Brooklyn
2504.0,98,Brooklyn
2049.0,99,Brooklyn
2050.0,100,Brooklyn
2055.0,101,Brooklyn
4361.0,102,Brooklyn
2498.0,103,Brooklyn
2051.0,104,Brooklyn
2052.0,105,Brooklyn
4137.0,106,Brooklyn
2054.0,106,Brooklyn
4101.0,107,Brooklyn
4362.0,108,Brooklyn
4360.0,109,
2056.0,110,Brooklyn
4358.0,111,Brooklyn
2057.0,112,Brooklyn
2058.0,113,Brooklyn
2059.0,114,Brooklyn
2060.0,115,Brooklyn
4124.0,115,Brooklyn
3739.0,116,Brooklyn
2048.0,117,Brooklyn
2045.0,117,Brooklyn
2046.0,118,Brooklyn
4363.0,119,Brooklyn
2039.0,119,Brooklyn
2494.0,119,Brooklyn
2495.0,119,Brooklyn
2041.0,120,Brooklyn
2043.0,120,Brooklyn
2038.0,120,Brooklyn
