borough	category	total_area_km2	total_unique_ids	total_pixel_count
Bronx	building	0.28000359911983286	468	3748897
Bronx	ground	15.695586262895025	821	210144214
Bronx	high_vegetation	9.611437047496587	780	128685087
Bronx	low_vegetation	1.6370474423681647	777	21918012
Bronx	medium_vegetation	3.465862212786833	787	46403548
Brooklyn	building	0.213514473396168	610	2858691
Brooklyn	ground	13.107954708330016	1076	175499073
Brooklyn	high_vegetation	4.8955639447999335	1023	65545461
Brooklyn	low_vegetation	1.0800453052990213	1029	14460452
Brooklyn	medium_vegetation	2.2455280384690073	1043	30064804
Manhattan	building	0.278331448464028	383	3726509
Manhattan	ground	5.5346395650649125	724	74101882
Manhattan	high_vegetation	4.07468316937269	704	54554897
Manhattan	low_vegetation	0.5976811528511787	702	8002201
Manhattan	medium_vegetation	1.3758545671613993	709	18420967
Queens	building	0.37039690569656064	657	4959150
Queens	ground	22.41989200637918	1204	300174234
Queens	high_vegetation	9.701742743178224	1117	129894167
Queens	low_vegetation	1.772259360847498	1106	23728330
Queens	medium_vegetation	3.7963617293144103	1129	50828522
Staten Island	building	0.12618373897821378	216	1689442
Staten Island	ground	16.2947556059292	514	218166340
Staten Island	high_vegetation	11.02614394701189	483	147626238
Staten Island	low_vegetation	1.917380123844147	486	25671315
Staten Island	medium_vegetation	3.668613168628595	486	49118129
All	building	1.2684301656548032	2314	16982689
All	ground	73.05282814859834	4313	978085743
All	high_vegetation	39.309570851859334	4082	526305850
All	low_vegetation	7.004413385210009	4074	93780310
All	medium_vegetation	14.552219716360245	4128	194835970
