shape_id,borough,total_vegetation_pixels,total_vegetation_area_m2,shape_geometry_area_m2,park_name,park_id,vegetation_categories_present
0,Brooklyn,0.0,0.0,641.5639857376912,,1125.0,low_vegetation
1,Brooklyn,1180.0,1180.0,9097.204488196194,,1125.0,low_vegetation
2,Brooklyn,1052.0,1052.0,7711.629222087871,,1125.0,low_vegetation
3,Brooklyn,68.0,68.0,1347.111371628561,,1125.0,low_vegetation
4,Brooklyn,130263.0,130263.0,12605022.664454969,,,low_vegetation
5,Brooklyn,140856.0,140856.0,3768124.023913915,,,low_vegetation
6,Brooklyn,1522.0,1522.0,6736.356674713769,,1125.0,low_vegetation
7,Brooklyn,32910.0,32910.0,103083.0546794804,,1125.0,low_vegetation
8,Brooklyn,13095.0,13095.0,99134.07103655486,,1125.0,low_vegetation
9,Brooklyn,1290.0,1290.0,11835.68819759311,,1125.0,low_vegetation
10,Brooklyn,146.0,146.0,48474.55893674175,,1125.0,low_vegetation
11,Brooklyn,0.0,0.0,0.0099154027241207,,1125.0,low_vegetation
12,Brooklyn,348.0,348.0,21618.962588241266,,1125.0,low_vegetation
13,Brooklyn,21595.0,21595.0,143886.01754834125,,1125.0,low_vegetation
14,Brooklyn,1088.0,1088.0,22440.44438470184,,1125.0,low_vegetation
15,Brooklyn,508.0,508.0,20079.981591864343,,1210.0,low_vegetation
16,Brooklyn,569.0,569.0,3942.2359771331694,,1210.0,low_vegetation
17,Brooklyn,347.0,347.0,11394.408183660318,Cypress Hills-Mt Hope-Maimonides Cemetery,1.0,low_vegetation
18,Brooklyn,5499.0,5499.0,20947.127553523507,Evergreens-Trinity-Knollwood Park-Mt Judah Cemetery,2.0,low_vegetation
19,Brooklyn,0.0,0.0,54.348921908363785,Evergreens-Trinity-Knollwood Park-Mt Judah Cemetery,2.0,low_vegetation
20,Brooklyn,613.0,613.0,1372.464721663289,Evergreens-Trinity-Knollwood Park-Mt Judah Cemetery,2.0,low_vegetation
21,Brooklyn,0.0,0.0,56.76004551208735,Evergreens-Trinity-Knollwood Park-Mt Judah Cemetery,3.0,low_vegetation
22,Brooklyn,227.0,227.0,15952.09707637006,Salem Field-National-Bnai Jeshurum Cemetery,4.0,low_vegetation
23,Brooklyn,335.0,335.0,1622.6988827338669,Washington Cemetery,14.0,low_vegetation
24,Brooklyn,165936.0,165936.0,5763102.891628063,Cypress Hills-Mt Hope-Maimonides Cemetery,22.0,low_vegetation
25,Brooklyn,52994.0,52994.0,4130387.9112530495,Holy Cross Cemetery,24.0,low_vegetation
26,Brooklyn,6143.0,6143.0,123073.06247480155,Flatlands Dutch Reformed Church Cemetery,25.0,low_vegetation
27,Brooklyn,848.0,848.0,46720.268444434354,New Lots Community Church Cemetery,26.0,low_vegetation
28,Brooklyn,12443.0,12443.0,554883.16947857,Canarsie Cemetery,27.0,low_vegetation
29,Brooklyn,152616.0,152616.0,12670399.776067588,Evergreens-Trinity-Knollwood Park-Mt Judah Cemetery,28.0,low_vegetation
30,Brooklyn,78713.0,78713.0,2699499.867386676,Salem Field-National-Bnai Jeshurum Cemetery,29.0,low_vegetation
