park_id,park_name,borough,category,high_vegetation_pixel_count,high_vegetation_total_area_m2,geometry_area_m2,processing_id,shape_id,point_name,point_id,unique_id,fid,source_id,feature_co,sub_featur,name,status,shape_area,shape_len,fid_2,acquisitio,acres,address,class,communityb,councildis,department,eapply,gisobjid,gispropnum,globalid,jurisdicti,location,mapped,name311,nys_assemb,nys_senate,objectid,omppropid,parentid,permit,permitdist,permitpare,pip_ratabl,precinct,retired,signname,subcategor,typecatego,url,us_congres,waterfront,zipcode,GIS_LOC_ID,UNIT_CODE,GROUP_CODE,UNIT_NAME,UNIT_TYPE,META_MIDF,LANDS_CODE,DATE_EDIT,GIS_NOTES,fid_3,UID,Name_2,Category,Label,Descriptio,Region,County,Source,Original,Updated,Acreage,Total_acre,MID,MasterArea,WebAreaID,created_us,created_da,last_edite,last_edi_1,GlobalID_2,boro_name
5.0,St Raymond Cemetery,Bronx,high_vegetation,777,64.75,2372.436823645149,5.0_high_vegetation_Bronx,11.0,11.0,11.0,5.0,22.0,14250000010.0,2500.0,250000.0,St Raymond Cemetery,Unchanged,1081033.4788100002,4889.12544048,894.0,1960-12-05 00:00:00.0000000,229.14,,PARK,210211.0,,X-10,Hutchinson River Parkway,100005201.0,X101,79D85696-71F2-4548-9FBE-87C6A87654AD,DPR,Whitestone Bridge Approach to the NYC-Westchester County Line,True,Hutchinson River Parkway,82.0,3436.0,6433.0,X101,X-10,T,X-10,X-10,F,49.0,F,Hutchinson River Parkway,EXWY,Parkway,http://www.nycgovparks.org/parks/X101/,14.000000000000002,F,1.0461104621046511e+24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
6.0,St Raymond New Cemetery,Bronx,high_vegetation,46,3.833333333333333,106.08224149901037,6.0_high_vegetation_Bronx,12.0,12.0,12.0,6.0,23.0,14250000014.0,2500.0,250000.0,St Raymond New Cemetery,Unchanged,4831491.27244,10359.1730007,1127.0,1937-07-22 00:00:00.0000000,413.8,,PARK,210.0,13.0,X-10,Ferry Point Park,100004489.0,X126,2C63C401-A3FB-4CF8-B173-312DCF71B61A,DPR,"Schley Ave., LI Sound bet. Westchester Creek and Balcom Ave.",True,Ferry Point Park,82.0,34.0,6315.0,X126,X-10,T,X-10,X-10,F,45.0,F,Ferry Point Park,Large Park,Flagship Park,http://www.nycgovparks.org/parks/X126/,14.000000000000002,T,10465.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
6.0,St Raymond New Cemetery,Bronx,high_vegetation,0,0.0,6722.776910753108,6.0_high_vegetation_Bronx,13.0,13.0,13.0,6.0,23.0,14250000014.0,2500.0,250000.0,St Raymond New Cemetery,Unchanged,4831491.27244,10359.1730007,1127.0,1937-07-22 00:00:00.0000000,413.8,,PARK,210.0,13.0,X-10,Ferry Point Park,100004489.0,X126,2C63C401-A3FB-4CF8-B173-312DCF71B61A,DPR,"Schley Ave., LI Sound bet. Westchester Creek and Balcom Ave.",True,Ferry Point Park,82.0,34.0,6315.0,X126,X-10,T,X-10,X-10,F,45.0,F,Ferry Point Park,Large Park,Flagship Park,http://www.nycgovparks.org/parks/X126/,14.000000000000002,T,10465.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
40.0,St Raymond Cemetery,Bronx,high_vegetation,101156,8429.666666666666,1482164.2142156432,40.0_high_vegetation_Bronx,61.0,61.0,61.0,40.0,20.0,14250000004.0,2500.0,250000.0,St Raymond Cemetery,Unchanged,1482163.7540000002,5241.22645292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
41.0,St Raymond Cemetery,Bronx,high_vegetation,92619,7718.25,498117.0519085178,41.0_high_vegetation_Bronx,62.0,62.0,62.0,41.0,21.0,14250000006.0,2500.0,250000.0,St Raymond Cemetery,Unchanged,498116.905618,2889.98091676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
42.0,St Raymond Cemetery,Bronx,high_vegetation,143675,11972.916666666666,1078661.3627102852,42.0_high_vegetation_Bronx,63.0,63.0,63.0,42.0,22.0,14250000010.0,2500.0,250000.0,St Raymond Cemetery,Unchanged,1081033.4788100002,4889.12544048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
43.0,St Raymond New Cemetery,Bronx,high_vegetation,744501,62041.75,4824664.136375562,43.0_high_vegetation_Bronx,64.0,64.0,64.0,43.0,23.0,14250000014.0,2500.0,250000.0,St Raymond New Cemetery,Unchanged,4831491.27244,10359.1730007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
44.0,Ferris Family Cemetery,Bronx,high_vegetation,101441,8453.416666666666,181466.82365933206,44.0_high_vegetation_Bronx,65.0,65.0,65.0,44.0,24.0,14250001114.0,2500.0,250000.0,Ferris Family Cemetery,Unchanged,181466.779366,1976.59950006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
45.0,Pelham Cemetery,Bronx,high_vegetation,18556,1546.3333333333333,115986.64399531666,45.0_high_vegetation_Bronx,66.0,66.0,66.0,45.0,25.0,15250000020.0,2500.0,250000.0,Pelham Cemetery,Unchanged,115986.593672,1387.40019104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
46.0,Woodlawn Cemetery,Bronx,high_vegetation,6475019,539584.9166666666,17046689.397025723,46.0_high_vegetation_Bronx,67.0,67.0,67.0,46.0,26.0,15250000016.0,2500.0,250000.0,Woodlawn Cemetery,Updated,17046690.7911,18006.1377746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
