park_id,park_name,borough,category,low_vegetation_pixel_count,low_vegetation_total_area_m2,geometry_area_m2,processing_id,shape_id,point_name,point_id,unique_id,fid,source_id,feature_co,sub_featur,name,status,shape_area,shape_len,fid_2,acquisitio,acres,address,class,communityb,councildis,department,eapply,gisobjid,gispropnum,globalid,jurisdicti,location,mapped,name311,nys_assemb,nys_senate,objectid,omppropid,parentid,permit,permitdist,permitpare,pip_ratabl,precinct,retired,signname,subcategor,typecatego,url,us_congres,waterfront,zipcode,GIS_LOC_ID,UNIT_CODE,GROUP_CODE,UNIT_NAME,UNIT_TYPE,META_MIDF,LANDS_CODE,DATE_EDIT,GIS_NOTES,fid_3,UID,Name_2,Category,Label,Descriptio,Region,County,Source,Original,Updated,Acreage,Total_acre,MID,MasterArea,WebAreaID,created_us,created_da,last_edite,last_edi_1,GlobalID_2,boro_name
1947.0,,Manhattan,low_vegetation,470,39.166666666666664,362.22889618127215,1947.0_low_vegetation_Manhattan,3926.0,3926.0,3926.0,1947.0,,,,,,,,,1834.0,1982-04-27 00:00:00.0000000,26.042,,PARK,101.0,1.0,M-01,Battery Park City,100004688.0,M283,EB22BC03-E374-425B-A4D0-9256840A89CF,DPR/BPC Authority,"Hudson River, Liberty St. West St, and Pier A",True,Battery Park City,61.0,27.0,6369.0,M283,M-01,F,M-01,M-01,F,1.0,F,Battery Park City,Large Park,Community Park,http://www.nycgovparks.org/parks/M283/,9.999999999999998,T,100071001310280.0,,,,,,,,,,4.0,,Hudson River Park,State Park,Hudson River Park,,12,Manhattan,,1997,,320.04938083,320.0,,9.0,100.0,NYS.Parks.Admin,2022-08-23,NYS.Parks.Admin,2022-08-23,423766c9-708c-4740-a391-942f04fd794f,Manhattan
588.0,,Manhattan,low_vegetation,782,65.16666666666666,23051.521349164323,588.0_low_vegetation_Manhattan,1139.0,1139.0,1139.0,588.0,,,,,,,,,475.0,1876-06-02 00:00:00.0000000,253.168,,PARK,107109.0,,M-14,Riverside Park,100005080.0,M071,8CE05535-EA4D-4313-A9ED-39A71A098FD9,DPR/CDOT,"Riverside Dr. to Hudson River, W. 72 St.to St Clair Pl.",True,Riverside Park,,,6080.0,M071,M-14,T,M-14,M-14,F,19.999999999999996,F,Riverside Park,Flagship Park,Community Park,http://www.nycgovparks.org/parks/M071/,,T,100231002410025.0,,GEGR,,General Grant,National Memorial,,,2007-02-02,Lands - http://landsnet.nps.gov/tractsnet/documents/GEGR/Metadata/gegr_metadata.xml,,,,,,,,,,,,,,,,,,,,,,Manhattan
1343.0,,Manhattan,low_vegetation,34,2.833333333333333,9454.480421321969,1343.0_low_vegetation_Manhattan,2879.0,2879.0,2879.0,1343.0,,,,,,,,,1230.0,1870-01-01 00:00:00.0000000,21.88,10 BATTERY PARK,PARK,101.0,1.0,M-01,Battery Park,100003738.0,M005,A01DFF9F-D8F2-485C-AB9F-146111A7815D,DPR,"Battery Pl, State St and Whitehall St",True,The Battery,61.0,27.0,6396.0,M005,M-01,T,M-01,M-01,F,1.0,F,The Battery,Flagship Park,Neighborhood Park,http://www.nycgovparks.org/parks/M005/,9.999999999999998,T,1000410280.0,,CACL,,Castle Clinton,National Monument,,,2007-02-16,Lands - http://landsnet.nps.gov/tractsnet/documents/CACL/Metadata/cacl_metadata.xml,,,,,,,,,,,,,,,,,,,,,,Manhattan
31.0,Second Shearith Israel Cemetery,Manhattan,low_vegetation,117,9.75,1357.8386881027677,31.0_low_vegetation_Manhattan,52.0,52.0,52.0,31.0,11.0,12250000002.0,2500.0,250000.0,Second Shearith Israel Cemetery,Unchanged,1357.83311648,179.819440822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
32.0,St Patrick's Old Cathedral Cemetery,Manhattan,low_vegetation,176,14.666666666666666,13939.41844177881,32.0_low_vegetation_Manhattan,53.0,53.0,53.0,32.0,12.0,12250000003.0,2500.0,250000.0,St Patrick's Old Cathedral Cemetery,Unchanged,13939.3626573,561.687805345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
33.0,New York City Marble Cemetery,Manhattan,low_vegetation,2944,245.33333333333331,37709.62901773946,33.0_low_vegetation_Manhattan,54.0,54.0,54.0,33.0,13.0,12250000004.0,2500.0,250000.0,New York City Marble Cemetery,Unchanged,37709.4793668,963.184337924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
34.0,St Patrick's Old Cathedral Cemetery,Manhattan,low_vegetation,578,48.166666666666664,20029.500145156948,34.0_low_vegetation_Manhattan,55.0,55.0,55.0,34.0,14.0,12250000005.0,2500.0,250000.0,St Patrick's Old Cathedral Cemetery,Unchanged,20029.4199404,625.076564358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
35.0,St Marks Church in the Bowery Cemetery,Manhattan,low_vegetation,1392,116.0,9964.26527488142,35.0_low_vegetation_Manhattan,56.0,56.0,56.0,35.0,15.0,12250000011.0,2500.0,250000.0,St Marks Church in the Bowery Cemetery,Unchanged,9964.22547116,424.491900101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
36.0,Third Shearith Israel Cemetery,Manhattan,low_vegetation,630,52.5,9108.103959631799,36.0_low_vegetation_Manhattan,57.0,57.0,57.0,36.0,16.0,12250000014.0,2500.0,250000.0,Third Shearith Israel Cemetery,Unchanged,9108.06638319,392.185008815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
37.0,New York City Marble Cemetery,Manhattan,low_vegetation,2221,185.08333333333331,19429.22171876883,37.0_low_vegetation_Manhattan,58.0,58.0,58.0,37.0,17.0,12250000335.0,2500.0,250000.0,New York City Marble Cemetery,Unchanged,19429.1442046,654.807422105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
