unified_id,borough,vegetation_area_m2_high_vegetation,vegetation_area_m2_low_vegetation,vegetation_area_m2_medium_vegetation,vegetation_pixel_count_high_vegetation,vegetation_pixel_count_low_vegetation,vegetation_pixel_count_medium_vegetation,total_vegetation_area_m2,total_vegetation_pixels,UNIT_NAME,name311,Name_2,park_name,park_id,unique_id,geometry_area_m2
NAME2_Roberto Clemente,Bronx,9746.833333333332,3770.583333333333,8302.666666666666,116962.0,45247.0,99632.0,21820.08333333333,261841.0,,,Roberto Clemente,,,,965205.90903519
"NAME311_""Uncle"" Vito F. Maranzano Glendale Playground",Queens,531.6666666666666,69.75,625.3333333333333,6380.0,837.0,7504.0,1226.75,14721.0,,"""Uncle"" Vito F. Maranzano Glendale Playground",,,1265.0,1265.0,50094.50760816861
NAME311_100 Quincy Street Community Garden,Brooklyn,96.66666666666666,23.0,28.5,1160.0,276.0,342.0,148.16666666666666,1778.0,,100 Quincy Street Community Garden,,,366.0,366.0,2539.675207378799
NAME311_100% Playground,Brooklyn,2821.75,118.25,881.9166666666666,33861.0,1419.0,10583.0,3821.9166666666665,45863.0,,100% Playground,,,271.0,271.0,69791.3936671999
NAME311_11 BC Serenity Garden,Manhattan,44.91666666666666,40.66666666666666,27.33333333333333,539.0,488.0,328.0,112.91666666666664,1355.0,,11 BC Serenity Garden,,,1829.0,1829.0,2378.467048811236
NAME311_110th Street Block Association Garden,Manhattan,106.91666666666666,5.083333333333333,57.33333333333333,1283.0,61.0,688.0,169.33333333333331,2032.0,,110th Street Block Association Garden,,,570.0,570.0,2099.031065438174
NAME311_117th St Community Garden,Manhattan,193.25,55.25,69.08333333333333,2319.0,663.0,829.0,317.5833333333333,3811.0,,117th St Community Garden,,,923.0,923.0,3557.925967643601
NAME311_132 St Block Association Park,Manhattan,351.75,119.33333333333331,323.16666666666663,4221.0,1432.0,3878.0,794.25,9531.0,,132 St Block Association Park,,,1107.0,1107.0,7723.408780145124
NAME311_138th St. Community Garden,Bronx,771.5833333333333,235.16666666666663,576.9166666666666,9259.0,2822.0,6923.0,1583.6666666666665,19004.0,,138th St. Community Garden,,,422.0,422.0,19117.785242788512
NAME311_176th Street Community Garden,Bronx,538.1666666666666,48.25,139.58333333333331,6458.0,579.0,1675.0,726.0,8712.0,,176th Street Community Garden,,,1896.0,1896.0,10098.785292313454
NAME311_225 Street Malls,Queens,78.66666666666666,70.66666666666666,114.25,944.0,848.0,1371.0,263.5833333333333,3163.0,,225 Street Malls,,,169.0,169.0,7025.05304426104
NAME311_400 Montauk Av Block Assn,Brooklyn,63.41666666666666,15.083333333333332,12.0,761.0,181.0,144.0,90.49999999999999,1086.0,,400 Montauk Av Block Assn,,,509.0,509.0,4162.541450381984
NAME311_5 Borough Shops,Bronx,0.0,72.0,23.0,0.0,864.0,276.0,95.0,1140.0,,5 Borough Shops,,,700.0,700.0,58960.86012200448
NAME311_5th St Slope Garden,Manhattan,144.08333333333331,81.41666666666666,140.08333333333331,1729.0,977.0,1681.0,365.58333333333326,4387.0,,5th St Slope Garden,,,1905.0,1905.0,4172.914109762015
NAME311_61 Franklin St Garden,Brooklyn,46.5,57.25,53.0,558.0,687.0,636.0,156.75,1881.0,,61 Franklin St Garden,,,1731.0,1731.0,1825.6159782766413
NAME311_6BC Botanical Garden,Manhattan,271.25,260.25,327.16666666666663,3255.0,3123.0,3926.0,858.6666666666666,10304.0,,6BC Botanical Garden,,,1906.0,1906.0,7749.24806169599
NAME311_6th St and Ave B Community Garden,Manhattan,733.5833333333333,342.0833333333333,513.9166666666666,8803.0,4105.0,6167.0,1589.583333333333,19075.0,,6th St and Ave B Community Garden,,,1541.0,1541.0,17598.694677823507
NAME311_700 Decatur St Block Association,Brooklyn,0.0,53.08333333333333,43.0,0.0,637.0,516.0,96.08333333333333,1153.0,,700 Decatur St Block Association,,,786.0,786.0,5020.590520063535
NAME311_811 Family and Friends Garden,Bronx,0.0,2.4166666666666665,0.0,0.0,29.0,0.0,2.4166666666666665,29.0,,811 Family and Friends Garden,,,1852.0,1852.0,2801.0200786198334
NAME311_97th Street Block Association,Queens,79.83333333333333,14.916666666666666,29.25,958.0,179.0,351.0,124.0,1488.0,,97th Street Block Association,,,1868.0,1868.0,2500.074923833553
NAME311_9th St Community Garden Park,Manhattan,741.6666666666666,580.5,861.8333333333333,8900.0,6966.0,10342.0,2184.0,26208.0,,9th St Community Garden Park,,,1536.0,1536.0,21057.436837891502
NAME311_A Better Community Garden,Brooklyn,407.1666666666666,48.91666666666666,194.0,4886.0,587.0,2328.0,650.0833333333333,7801.0,,A Better Community Garden,,,1762.0,1762.0,6016.270187190738
NAME311_A Philip Randolph Square,Manhattan,245.25,10.916666666666666,105.75,2943.0,131.0,1269.0,361.9166666666667,4343.0,,A Philip Randolph Square,,,870.0,870.0,3827.28450225302
NAME311_A.R.R.O.W. Field House,Queens,0.0,11.333333333333332,0.0,0.0,136.0,0.0,11.333333333333332,136.0,,A.R.R.O.W. Field House,,,2122.0,2122.0,12477.253406942871
NAME311_ABC Playground,Manhattan,864.5,15.083333333333332,327.16666666666663,10374.0,181.0,3926.0,1206.75,14481.0,,ABC Playground,,,2125.0,2125.0,19988.80791637894
NAME311_Abe Lebewohl Park,Manhattan,395.4166666666666,16.666666666666664,92.58333333333331,4745.0,200.0,1111.0,504.6666666666666,6056.0,,Abe Lebewohl Park,,,250.0,250.0,6145.537304789583
NAME311_Abe Lebewohl Triangle,Manhattan,10.583333333333332,2.833333333333333,7.083333333333333,127.0,34.0,85.0,20.499999999999996,246.0,,Abe Lebewohl Triangle,,,374.0,374.0,549.7301385805647
NAME311_Abe Stark Skating Rink,Brooklyn,80.08333333333333,435.8333333333333,586.0,961.0,5230.0,7032.0,1101.9166666666665,13223.0,,Abe Stark Skating Rink,,,2141.0,2141.0,383781.8397544316
